Latitude,  Aircraft.Damage,  Longitude
43.768334,  2, 0
66.060833,  2, 0
26.589444,  2, 0
47.289722,  2, 0
30.166667,  2, 0
40.450833,  2, 0
30.856667,  2, 0
39.738889,  3, 0
43.991389,  2, 0
39.505,  2, 0
43.714167,  2, 0
42.819723,  3, 0
14.060833,  2, 0
33.269723,  2, 0
59.64,  2, 0
41.195833,  3, 0
46.219723,  2, 0
34.225556,  3, 0
61.174445,  2, 0
61.255278,  2, 0
39.192222,  2, 0
39.224723,  2, 0
40.038889,  3, 0
38.335,  3, 0
37.658889,  2, 0
34.351944,  2, 0
37.268334,  2, 0
57.566945,  2, 0
31.938889,  2, 0
32.239166,  2, 0
41.211389,  2, 0
38.938055,  2, 0
37.7475,  2, 0
43.833889,  2, 0
37.667778,  2, 0
60.573334,  2, 0
40.524723,  2, 0
34.870834,  2, 0
42.469723,  2, 0
38.805833,  1, 0
40.354444,  1, 0
22.35,  2, 0
36.454722,  2, 0
34.112778,  2, 0
35.7,  2, 0
40.412222,  2, 0
47.825556,  2, 0
33.803333,  2, 0
33.72,  2, 0
42.859444,  2, 0
34.265278,  2, 0
38.417778,  3, 0
48.079723,  2, 0
36.165556,  2, 0
59.61,  2, 0
40.164722,  2, 0
39.99,  2, 0
33.635277,  2, 0
34.618611,  2, 0
37.704722,  2, 0
43.178611,  2, 0
43.9875,  2, 0
37.833333,  2, 0
30.776945,  2, 0
30.971389,  2, 0
38.181667,  2, 0
28.55,  2, 0
32.3375,  2, 0
37.505278,  2, 0
29.647222,  2, 0
41.1325,  2, 0
33.688055,  3, 0
39.861389,  1, 0
34.73,  2, 0
35.5375,  3, 0
28.977778,  3, 0
39.375,  2, 0
34.15,  3, 0
45.8075,  2, 0
43.984166,  2, 0
36.227222,  2, 0
35.918889,  2, 0
37.15,  2, 0
34.248611,  2, 0
38.450833,  2, 0
36.8675,  2, 0
41.491389,  2, 0
44.823056,  2, 0
47.682778,  2, 0
47.423334,  2, 0
31.789444,  2, 0
39.506111,  2, 0
31.881111,  2, 0
46.662222,  2, 0
37.332778,  2, 0
44.289444,  2, 0
36.963889,  2, 0
43.513611,  2, 0
35.615556,  2, 0
34.272778,  2, 0
32.727223,  2, 0
39.695833,  2, 0
33.9425,  2, 0
33.184444,  3, 0
42.5625,  2, 0
34.263611,  2, 0
33.060833,  2, 0
40.961667,  3, 0
40.083611,  2, 0
37.977778,  2, 0
41.709167,  2, 0
30.042222,  2, 0
61.03,  3, 0
32.409444,  2, 0
44.046944,  3, 0
43.606667,  2, 0
60.283611,  2, 0
62.975,  2, 0
29.976667,  2, 0
41.565,  2, 0
37.618056,  2, 0
46.064444,  2, 0
40.0775,  2, 0
26.335833,  2, 0
29.817223,  3, 0
33.500278,  2, 0
33.582778,  2, 0
44.1175,  1, 0
41.136944,  2, 0
35.218056,  2, 0
44.266945,  2, 0
61.394444,  2, 0
63.389722,  2, 0
35.383333,  2, 0
61.571667,  2, 0
28.781667,  2, 0
45.133056,  2, 0
36.484722,  2, 0
33.191666,  3, 0
29.976667,  2, 0
29.08,  2, 0
36.190277,  2, 0
40.6175,  2, 0
59.115,  3, 0
37.937222,  2, 0
41.969445,  2, 0
61.466667,  2, 0
61.916667,  2, 0
32.446666,  3, 0
9.066667,  3, 0
59.668611,  2, 0
38.264722,  3, 0
39.316667,  2, 0
40.961667,  2, 0
46.606667,  2, 0
30.533056,  2, 0
42.703333,  2, 0
-37.033333,  3, 0
33.45,  2, 0
47.819167,  2, 0
30.211944,  2, 0
28.289722,  2, 0
30.19,  1, 0
48.593333,  2, 0
32.565278,  2, 0
41.307222,  2, 0
33.564722,  3, 0
40.824723,  2, 0
32.4,  2, 0
41.509722,  2, 0
37.538333,  2, 0
38.533333,  2, 0
27.758611,  2, 0
63.283333,  2, 0
29.988889,  2, 0
45.795555,  2, 0
41.354722,  2, 0
32.736944,  2, 0
28.341666,  2, 0
43.508056,  2, 0
29.966667,  2, 0
41.790555,  2, 0
38.351389,  2, 0
48.058611,  2, 0
32.331111,  2, 0
39.839166,  3, 0
19.959444,  3, 0
37.977778,  2, 0
42.716667,  2, 0
40.869445,  2, 0
31.933333,  2, 0
39.05,  2, 0
36.623334,  2, 0
39.505278,  2, 0
41.982223,  2, 0
32.815556,  3, 0
38.726667,  2, 0
33.227778,  2, 0
39.708056,  2, 0
35.700833,  2, 0
34.269445,  2, 0
26.247222,  2, 0
45.501111,  2, 0
4.170556,  2, 0
34.239444,  2, 0
37.31,  3, 0
38.831667,  2, 0
44.610278,  2, 0
18.019445,  3, 0
43.952778,  2, 0
31.515556,  2, 0
34.388611,  2, 0
48.160833,  2, 0
38.058056,  2, 0
48.635277,  3, 0
35.952222,  2, 0
28.258611,  3, 0
33.688333,  2, 0
22.473334,  2, 0
60.198611,  2, 0
35.703889,  2, 0
42.858333,  2, 0
27.515,  2, 0
33.390555,  2, 0
37.081667,  2, 0
29.784722,  2, 0
43.389444,  2, 0
60.8,  3, 0
29.495277,  1, 0
64.759167,  2, 0
70.008333,  2, 0
42.5425,  2, 0
44.052222,  2, 0
35.126667,  2, 0
48.122223,  2, 0
43.532778,  1, 0
41.391111,  2, 0
39.503889,  2, 0
33.733889,  2, 0
40.611389,  2, 0
34.085277,  2, 0
-16.270278,  2, 0
33.688333,  2, 0
44.493889,  2, 0
34.916667,  2, 0
29.301111,  2, 0
27.884166,  2, 0
51.723611,  3, 0
63.645277,  2, 0
18.439444,  1, 0
32.920834,  1, 0
4.852778,  3, 0
36.988611,  2, 0
32.986666,  2, 0
33.870834,  2, 0
62.25,  2, 0
33.3125,  2, 0
41.259444,  2, 0
36.688055,  2, 0
47.335277,  3, 0
35.081111,  2, 0
34.263611,  3, 0
46.920556,  2, 0
34.017778,  2, 0
34.013056,  1, 0
31.477223,  2, 0
38.945833,  2, 0
30.051944,  2, 0
32.816667,  2, 0
28.000278,  2, 0
46.867223,  2, 0
40.456667,  2, 0
39.990277,  2, 0
40.03,  2, 0
44.246389,  2, 0
45.722778,  3, 0
33.931667,  2, 0
44.481111,  2, 0
-16.202222,  2, 0
40.635555,  2, 0
28.766667,  2, 0
34.041389,  2, 0
42.418334,  2, 0
47.913333,  2, 0
41.989444,  2, 0
-1.407778,  2, 0
38.775,  2, 0
41.570278,  3, 0
61.335555,  2, 0
38.644722,  2, 0
34.711389,  2, 0
33,  2, 0
44.094444,  2, 0
57.938055,  2, 0
65.051944,  2, 0
29.166667,  2, 0
38.786389,  2, 0
35.020834,  3, 0
-7.368056,  2, 0
35.189722,  2, 0
-0.511111,  2, 0
38.309167,  2, 0
40.863611,  2, 0
37.968889,  3, 0
60.3325,  2, 0
37.324445,  3, 0
39.695277,  2, 0
37.738611,  1, 0
35.214167,  1, 0
40.925556,  2, 0
47.966667,  2, 0
44.253889,  2, 0
40.776667,  2, 0
58.666667,  2, 0
31.389722,  2, 0
39.163611,  2, 0
44.929167,  2, 0
64.107222,  2, 0
41.734722,  2, 0
32.930556,  2, 0
41.281667,  2, 0
35.823611,  2, 0
36.184722,  3, 0
60.906111,  2, 0
30.734444,  2, 0
42.673334,  2, 0
39.145833,  2, 0
40.985277,  3, 0
61.186944,  2, 0
30.419723,  2, 0
17.5925,  2, 0
26.378889,  2, 0
41.728889,  2, 0
26.234444,  2, 0
43.633611,  2, 0
35.913333,  2, 0
42.917223,  2, 0
61.637777,  2, 0
38.304722,  2, 0
36.853611,  2, 0
39.679167,  2, 0
45.627778,  2, 0
35.24,  2, 0
44.159722,  2, 0
45.516667,  2, 0
39.216111,  2, 0
44.895,  2, 0
34.263889,  2, 0
46.971945,  2, 0
44.0625,  2, 0
35.935833,  3, 0
40.587777,  3, 0
33.351111,  2, 0
33.354444,  3, 0
35.019723,  2, 0
48.259444,  2, 0
40.619445,  2, 0
27.890277,  2, 0
45.348889,  2, 0
42.19,  2, 0
4.243055,  2, 0
35.835277,  2, 0
37.861667,  2, 0
27.813333,  2, 0
29.49,  2, 0
41.0725,  2, 0
30.913056,  2, 0
33.8075,  3, 0
37.635277,  3, 0
61.148055,  2, 0
30.642777,  2, 0
46.026945,  3, 0
35.073056,  2, 0
30.601389,  2, 0
28.0575,  2, 0
34.91,  2, 0
48.621667,  2, 0
38.541389,  2, 0
63.316667,  2, 0
37.897222,  2, 0
29.0175,  2, 0
30.784444,  2, 0
41.138333,  1, 0
37.763611,  2, 0
26.676945,  2, 0
44.975556,  1, 0
47.042777,  2, 0
41.716945,  2, 0
31.475,  3, 0
40.365278,  2, 0
47.366667,  2, 0
32.564444,  2, 0
43.253611,  2, 0
19.316667,  3, 0
45.537222,  2, 0
48.208056,  2, 0
45.627778,  2, 0
40.223889,  2, 0
36.893333,  2, 0
37.256667,  2, 0
35.890277,  2, 0
20.668056,  3, 0
32.850556,  2, 0
40.612222,  2, 0
42.225278,  2, 0
40.203056,  2, 0
45.690555,  2, 0
46.128889,  2, 0
37.256111,  2, 0
41.819723,  2, 0
33.968889,  2, 0
29.16,  2, 0
36.391111,  2, 0
45.416667,  2, 0
33.459722,  2, 0
41.165278,  2, 0
39.448889,  3, 0
29.928889,  2, 0
33.333333,  2, 0
61.186944,  2, 0
40.354444,  2, 0
38.633889,  2, 0
38.286944,  3, 0
40.799444,  2, 0
34.112222,  2, 0
46.828334,  2, 0
31.693611,  2, 0
31.825556,  2, 0
32.089166,  2, 0
35.219167,  2, 0
34.783611,  3, 0
35.220834,  3, 0
35.534166,  2, 0
40.791667,  3, 0
45.693055,  2, 0
44.056111,  2, 0
36.706111,  3, 0
33.912222,  2, 0
33.434444,  1, 0
39.892222,  2, 0
46.569167,  2, 0
36.271667,  2, 0
32.493333,  2, 0
36.2125,  2, 0
-7.5,  2, 0
26.845833,  2, 0
38.05,  2, 0
26.247222,  2, 0
41.45,  2, 0
31.382223,  2, 0
64.648611,  2, 0
5.366667,  3, 0
41.000833,  2, 0
38.520278,  3, 0
60.792777,  2, 0
33.185277,  3, 0
63.966667,  2, 0
35.040277,  2, 0
60.939166,  2, 0
18.201389,  2, 0
37.287222,  3, 0
39.570278,  2, 0
47.822778,  2, 0
30.369167,  2, 0
39.34,  2, 0
37.775834,  2, 0
29.995,  2, 0
41.116667,  2, 0
29.066945,  2, 0
38.945555,  2, 0
32.45,  2, 0
41.128334,  2, 0
39.216945,  3, 0
46.969445,  2, 0
41.196111,  2, 0
39.668056,  2, 0
40.854444,  2, 0
42.148055,  1, 0
35.067223,  2, 0
42.579167,  2, 0
61.7575,  2, 0
39.963889,  2, 0
38.487222,  3, 0
42.038333,  2, 0
41.065556,  2, 0
34.013056,  2, 0
33.491111,  3, 0
59.960833,  2, 0
58.367778,  3, 0
26.593055,  2, 0
35.9625,  2, 0
42.946944,  2, 0
47.466945,  1, 0
39.403333,  2, 0
40.848611,  2, 0
34.217778,  3, 0
44.694444,  2, 0
37.081667,  2, 0
30.153333,  2, 0
38.662222,  2, 0
32.333333,  2, 0
40.524445,  2, 0
33.011111,  2, 0
32.7125,  2, 0
39.109444,  2, 0
37.633056,  2, 0
25.995,  2, 0
39.526667,  2, 0
45.769167,  2, 0
61.95,  2, 0
38.099166,  2, 0
-6.126667,  2, 0
47.083333,  2, 0
27.975556,  2, 0
40.285,  2, 0
64.833333,  2, 0
26.683056,  2, 0
34.833333,  2, 0
37.131667,  2, 0
40.643333,  2, 0
47.608611,  2, 0
44.351667,  2, 0
35.356389,  2, 0
38.521945,  3, 0
60.863056,  2, 0
39.948333,  3, 0
41.801667,  3, 0
41.025278,  2, 0
27.074723,  3, 0
34.25,  2, 0
34.443055,  2, 0
39.046111,  2, 0
35.288889,  3, 0
40.604722,  2, 0
11.128334,  3, 0
26.373889,  2, 0
61.292777,  2, 0
30.603889,  2, 0
46.992222,  2, 0
45.670278,  2, 0
41.423889,  2, 0
39.263333,  2, 0
33.434444,  1, 0
34.342777,  2, 0
32.781667,  3, 0
33.563889,  2, 0
38.9475,  1, 0
63.27,  2, 0
33.922778,  2, 0
39.011111,  2, 0
34.136666,  2, 0
34.436666,  2, 0
35.044722,  2, 0
40.982778,  2, 0
34.415556,  2, 0
34.249166,  2, 0
25.558611,  2, 0
43.961944,  2, 0
30.791111,  2, 0
34.247222,  3, 0
32.663889,  3, 0
58.413889,  2, 0
10.695833,  2, 0
33.688333,  2, 0
35.539722,  3, 0
33.305278,  2, 0
35.619445,  2, 0
32.523889,  2, 0
34.946389,  3, 0
40.121667,  2, 0
32.684722,  2, 0
44.492222,  2, 0
40.728611,  2, 0
42.976667,  2, 0
39.606389,  2, 0
27.180834,  2, 0
33.018056,  2, 0
58.676389,  2, 0
42.910833,  2, 0
64.425,  2, 0
14.385277,  2, 0
-13.673611,  3, 0
44.670834,  2, 0
41.358333,  2, 0
38.332778,  2, 0
44.123334,  2, 0
41.823611,  2, 0
32.138611,  2, 0
31.309167,  3, 0
21.318611,  2, 0
35.076389,  2, 0
45.096389,  2, 0
34.129167,  2, 0
27.990278,  2, 0
40.128889,  2, 0
27.456389,  2, 0
40.048333,  2, 0
60.691111,  2, 0
39.555278,  2, 0
43.642222,  2, 0
61.521667,  2, 0
46.794444,  3, 0
39.505556,  2, 0
41.408889,  3, 0
87.145833,  2, 0
61.35,  2, 0
59.916667,  2, 0
29.993333,  3, 0
32.446666,  2, 0
33.620278,  2, 0
44.9225,  2, 0
39.736389,  2, 0
29.506111,  2, 0
28.62,  3, 0
37.470278,  2, 0
36.8,  2, 0
38.069445,  2, 0
33.948611,  2, 0
40.935555,  2, 0
31.839722,  2, 0
40.961667,  2, 0
62.154722,  2, 0
40.622223,  2, 0
32.985277,  2, 0
46.689722,  2, 0
41.433333,  2, 0
34.606389,  2, 0
35.814167,  2, 0
60.904722,  2, 0
40.355278,  2, 0
64.821667,  2, 0
34.022223,  2, 0
61.569723,  2, 0
42.936666,  2, 0
41.060278,  2, 0
30.061944,  2, 0
62.719167,  2, 0
39.476667,  1, 0
44.578334,  2, 0
25.799722,  2, 0
20.780278,  2, 0
33.563889,  3, 0
39.454444,  2, 0
37.914444,  2, 0
41.907778,  3, 0
32.815556,  2, 0
47.205278,  3, 0
48.171667,  2, 0
-1.488611,  2, 0
41.067223,  2, 0
38.583333,  2, 0
42.907778,  2, 0
40.524445,  2, 0
35.298889,  3, 0
59.965833,  2, 0
35.436111,  1, 0
33.901111,  2, 0
45.955,  2, 0
-23.181111,  2, 0
30.840555,  2, 0
46.882778,  2, 0
36.333333,  2, 0
48.576389,  2, 0
46.158056,  2, 0
36.906111,  2, 0
40.785833,  2, 0
41.935555,  2, 0
45.602222,  2, 0
39.668056,  2, 0
33.658056,  1, 0
29.355556,  2, 0
39.666667,  2, 0
34.279167,  3, 0
46.154444,  2, 0
35.663333,  2, 0
42.209167,  2, 0
41.846944,  2, 0
34.518611,  2, 0
36.034722,  2, 0
38.470278,  3, 0
45.550833,  3, 0
34.686389,  2, 0
40.121667,  2, 0
42.273889,  2, 0
30.384444,  2, 0
44.216389,  3, 0
28.776667,  2, 0
24.696944,  2, 0
46.871667,  2, 0
42.690555,  2, 0
41.168056,  2, 0
38.805833,  2, 0
32.931111,  2, 0
43.216389,  2, 0
61.588611,  2, 0
32.821945,  2, 0
39.018056,  3, 0
26.152222,  2, 0
59.9675,  2, 0
65.073889,  2, 0
28.062778,  2, 0
39.818611,  3, 0
5.782223,  2, 0
39.667223,  2, 0
47.484722,  2, 0
52.095833,  2, 0
33.833333,  2, 0
29.360278,  2, 0
35.265833,  2, 0
-7.030834,  3, 0
33.537222,  2, 0
28.8,  2, 0
43.114167,  2, 0
42.515833,  2, 0
30.336389,  2, 0
45.7775,  2, 0
34.213889,  2, 0
37.989722,  2, 0
48.133333,  2, 0
39.976389,  2, 0
32.366667,  2, 0
27.986389,  3, 0
59.933056,  2, 0
59.317778,  3, 0
37.953889,  1, 0
33.063889,  2, 0
38.779167,  2, 0
41.602778,  2, 0
48.177778,  2, 0
25.403611,  2, 0
48.483333,  2, 0
10.512222,  3, 0
36.85,  2, 0
38.083333,  2, 0
33.666667,  2, 0
61.5,  3, 0
45.81,  2, 0
61.402778,  2, 0
38.835833,  2, 0
25.763611,  3, 0
25.848889,  2, 0
38.311667,  2, 0
20.866667,  2, 0
45.177223,  2, 0
48.17,  3, 0
42.584166,  2, 0
41.7325,  2, 0
40.875278,  2, 0
64.779167,  2, 0
62.773889,  2, 0
35.140277,  2, 0
40.238333,  2, 0
36.381667,  2, 0
41.638333,  2, 0
32.065,  2, 0
39.578056,  2, 0
30.0425,  2, 0
61.785,  2, 0
32.191666,  3, 0
29.061667,  2, 0
33.312778,  2, 0
31.057778,  2, 0
9.833333,  2, 0
26.384722,  2, 0
45.254722,  2, 0
45.323611,  2, 0
38.724167,  2, 0
47.51,  2, 0
39.664444,  2, 0
38.5725,  2, 0
32.332778,  2, 0
-34,  2, 0
32.409444,  2, 0
36.671389,  3, 0
42.946111,  2, 0
40.308056,  2, 0
43.984166,  2, 0
44.627778,  2, 0
47.366667,  2, 0
48.728334,  2, 0
35.854444,  2, 0
45.546666,  2, 0
29.083889,  2, 0
26.064167,  3, 0
40.441111,  2, 0
47.008889,  2, 0
41.971389,  2, 0
19.711389,  2, 0
26.6,  2, 0
63.788889,  2, 0
-17.485833,  3, 0
44.461667,  3, 0
26.586666,  2, 0
28,  2, 0
38.300278,  2, 0
29.273611,  2, 0
7.325,  3, 0
36.065278,  2, 0
44.365,  2, 0
46.923611,  3, 0
34.129445,  2, 0
33.468334,  2, 0
31.818611,  2, 0
32.368611,  2, 0
33.971111,  2, 0
39.798333,  3, 0
28.627778,  2, 0
34.751944,  2, 0
30.885555,  1, 0
8.076667,  3, 0
29.208611,  2, 0
37.692222,  2, 0
33.855,  2, 0
53.169445,  2, 0
43.169445,  2, 0
45.776389,  3, 0
36.210556,  2, 0
40.276667,  2, 0
34.109444,  2, 0
33.882223,  3, 0
32.15,  2, 0
31.194722,  2, 0
41.008611,  2, 0
31.431667,  2, 0
34.355833,  2, 0
29.656111,  2, 0
31.121111,  2, 0
33.2,  2, 0
28.1025,  2, 0
39.454444,  3, 0
38.776111,  2, 0
35.059167,  2, 0
43.504722,  2, 0
40.950278,  2, 0
41.596944,  2, 0
20.553611,  3, 0
43.466667,  3, 0
29.984444,  2, 0
39.767778,  2, 0
33.9425,  2, 0
37.1425,  2, 0
60.483333,  2, 0
33.173889,  2, 0
32.128889,  2, 0
30.971389,  2, 0
34.674445,  2, 0
36.585555,  2, 0
41.250556,  3, 0
28.545555,  2, 0
26.681667,  2, 0
40.783056,  2, 0
35.120834,  2, 0
33.753333,  2, 0
40.569167,  2, 0
44.589444,  2, 0
30.477778,  2, 0
36.211667,  2, 0
33.539444,  2, 0
29.441666,  2, 0
33.624167,  2, 0
40.392222,  2, 0
53.383333,  2, 0
36.338055,  2, 0
33.558889,  2, 0
34.650556,  2, 0
39.790277,  2, 0
38.604722,  3, 0
34.88,  2, 0
38.925278,  2, 0
30.580556,  2, 0
43.390277,  2, 0
32.85,  2, 0
40.936666,  2, 0
47.866389,  2, 0
40.334166,  3, 0
28.338055,  2, 0
35.147222,  3, 0
58.676945,  2, 0
26.784444,  2, 0
21.318611,  2, 0
60.766667,  2, 0
45.866667,  2, 0
59.189722,  2, 0
39.633611,  2, 0
34.668889,  2, 0
30.953333,  2, 0
41.805556,  2, 0
33.913611,  3, 0
59.248055,  2, 0
31.476667,  2, 0
35.040277,  2, 0
36.646389,  2, 0
33.564722,  3, 0
31.033333,  2, 0
33.254444,  2, 0
32.820556,  2, 0
33.047222,  3, 0
48.999444,  2, 0
32.153056,  2, 0
36.278611,  2, 0
37.756111,  2, 0
32.944166,  3, 0
29.273334,  1, 0
29.849444,  3, 0
35.406667,  2, 0
38.252222,  2, 0
41.211111,  2, 0
45.879445,  2, 0
29.806944,  2, 0
29.08,  2, 0
39.541944,  2, 0
35.691111,  2, 0
62.320556,  2, 0
31.718611,  2, 0
25.445,  2, 0
43.747777,  2, 0
39.4875,  2, 0
34.6575,  2, 0
33.98,  2, 0
46.305556,  2, 0
26.683056,  2, 0
42.703333,  2, 0
30.427778,  2, 0
32.4525,  3, 0
37.709444,  3, 0
35.82,  2, 0
48.160833,  2, 0
37.616667,  2, 0
33.173056,  2, 0
45.673056,  2, 0
42.781945,  2, 0
34.174723,  2, 0
30.639444,  2, 0
41.196111,  2, 0
39.668056,  2, 0
45.947777,  2, 0
33.386666,  2, 0
27.948889,  2, 0
25.559444,  3, 0
40.842777,  3, 0
44.650833,  2, 0
44.818889,  2, 0
39.498889,  2, 0
39.834444,  2, 0
40.365833,  2, 0
40.0425,  2, 0
39.055,  2, 0
44.628056,  2, 0
37.044166,  2, 0
41.415833,  3, 0
44.912222,  2, 0
60.633889,  2, 0
61.2,  3, 0
40.947222,  2, 0
46.920556,  2, 0
38.434722,  3, 0
33.45,  3, 0
39.908889,  2, 0
40.214167,  3, 0
42.085277,  2, 0
-33.9,  2, 0
36.475,  3, 0
34.654444,  2, 0
33.303889,  2, 0
34.359722,  2, 0
31.780556,  3, 0
39.526111,  2, 0
38.739722,  1, 0
35.608056,  2, 0
35.868611,  2, 0
34.276945,  2, 0
35.908889,  2, 0
48,  2, 0
34.173056,  2, 0
30.9,  2, 0
42.781389,  2, 0
39,  2, 0
40.745,  2, 0
33.855278,  2, 0
33.611944,  2, 0
44.641944,  2, 0
61.213611,  2, 0
29.950833,  2, 0
43.9075,  2, 0
39.221389,  2, 0
27.616945,  2, 0
32.565,  2, 0
39.4175,  2, 0
34.026389,  2, 0
61.638611,  2, 0
35.603333,  2, 0
-14.331667,  2, 0
32.313889,  2, 0
40.352222,  2, 0
32.113333,  2, 0
30.4,  2, 0
61.323889,  2, 0
42.112778,  2, 0
61.096666,  2, 0
33.579167,  2, 0
35.768889,  2, 0
41.028334,  2, 0
26.175834,  2, 0
33.6,  2, 0
35.059444,  2, 0
38.954722,  2, 0
56.608333,  2, 0
42.009444,  2, 0
61.672778,  2, 0
63.031111,  2, 0
35.95,  3, 0
38.375834,  2, 0
41.871389,  2, 0
45.629723,  2, 0
62.320556,  2, 0
36.559167,  2, 0
33.488333,  3, 0
33.629167,  2, 0
41.195833,  2, 0
38.529445,  2, 0
39.56,  2, 0
47.6,  3, 0
45.648611,  2, 0
42.880834,  3, 0
61.420556,  3, 0
33.434722,  2, 0
32.955,  2, 0
39.923056,  2, 0
70.344166,  2, 0
47.81,  2, 0
38.116667,  2, 0
28.951389,  2, 0
40.279723,  2, 0
38.184166,  2, 0
33.298889,  2, 0
44.778889,  2, 0
35.259444,  3, 0
64.033333,  2, 0
26.0725,  1, 0
34.571111,  2, 0
36.308333,  2, 0
28.253611,  2, 0
40.1525,  2, 0
35.990277,  2, 0
-16.151389,  3, 0
33.8175,  2, 0
62.320278,  2, 0
47.53,  2, 0
44.173056,  2, 0
42.7375,  3, 0
39.5375,  2, 0
38.539444,  2, 0
39.908889,  2, 0
