@relation Aviation_Accident_Database_&_Synopses.arff-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R3_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A2-N200-T1.0E-4-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R3_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A2-N200-T1.0E-4-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R3_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A2-N200-T1.0E-4-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R3_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A2-N200-T1.0E-4-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R3_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A2-N200-T1.0E-4-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R3_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A2-N200-T1.0E-4-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R3_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A2-N200-T1.0E-4-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R3_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A2-N200-T1.0E-4-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R3_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A2-N200-T1.0E-4-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R3_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A2-N200-T1.0E-4-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R3_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A2-N200-T1.0E-4-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R3_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A2-N200-T1.0E-4-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R3_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A2-N200-T1.0E-4-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R3_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A2-N200-T1.0E-4-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R3_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A2-N200-T1.0E-4-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R3_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A2-N200-T1.0E-4-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R3_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A2-N200-T1.0E-4-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R3_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A2-N200-T1.0E-4-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R3_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A2-N200-T1.0E-4-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R3_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A2-N200-T1.0E-4-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R3_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A2-N200-T1.0E-4-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R3_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A2-N200-T1.0E-4-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R3_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A2-N200-T1.0E-4

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute ' Longitude' numeric

@data
-0.001314,0.00321,-3
-0.010805,0.010123,-7
0.005999,-0.002118,-4
-0.002814,0.004302,-5
0.004476,-0.001009,-4
0.000098,0.002181,-4
0.004182,-0.000795,-4
-0.010662,-0.009988,-4
-0.001409,0.003279,-4
0.000501,0.001887,-4
-0.001291,0.003193,-3
-0.011973,-0.009033,-5
0.011333,-0.006003,-4
0.003155,-0.000046,-5
-0.008071,0.008132,-7
-0.011282,-0.009537,-5
-0.002358,0.00397,-5
-0.008315,-0.011698,-5
-0.008725,0.008608,-7
-0.008759,0.008633,-7
0.000634,0.00179,-5
0.00062,0.0018,-5
-0.01079,-0.009895,-3
-0.010064,-0.010424,-4
0.001287,0.001315,-6
0.002694,0.000289,-4
0.001453,0.001194,-5
-0.007189,0.007489,-7
0.003722,-0.000459,-5
0.003594,-0.000366,-4
-0.000226,0.002417,-5
0.000742,0.001712,-4
0.001249,0.001342,-4
-0.001342,0.00323,-5
0.001283,0.001318,-4
-0.008469,0.008421,-7
0.000067,0.002204,-4
0.002474,0.00045,-5
-0.000762,0.002807,-3
0.011861,0.013619,-5
0.011202,0.014099,-3
0.007804,-0.003433,5
0.001799,0.000941,-5
0.002796,0.000215,-4
0.002121,0.000707,-5
0.000114,0.002169,-4
-0.003042,0.004468,-4
0.002928,0.000119,-5
0.002963,0.000093,-4
-0.000927,0.002928,-3
0.002731,0.000262,-5
-0.010099,-0.010398,-5
-0.00315,0.004547,-5
0.001922,0.000852,-4
-0.008059,0.008122,-7
0.00022,0.002092,-5
0.000294,0.002038,-3
0.003,0.000067,-4
0.002581,0.000372,-4
0.001267,0.001329,-6
-0.001063,0.003027,-3
-0.001408,0.003277,-3
0.001212,0.001369,-6
0.004216,-0.000819,-4
0.004134,-0.000759,-4
0.001064,0.001477,-4
0.005164,-0.00151,-4
0.003552,-0.000335,5
0.001352,0.001267,-3
0.004697,-0.00117,-4
-0.000192,0.002392,-3
-0.008086,-0.011865,-5
0.011412,0.013946,-5
0.002533,0.000407,-6
-0.008873,-0.011291,-5
-0.006081,-0.013326,-4
0.000556,0.001847,-3
-0.008283,-0.011722,-5
-0.002183,0.003842,-5
-0.001406,0.003276,-4
0.001896,0.000871,-5
0.002027,0.000775,-3
0.001503,0.001157,-5
0.002738,0.000257,-4
0.000949,0.00156,-4
0.001623,0.001069,-4
-0.000345,0.002503,-3
-0.001763,0.003537,-4
-0.002981,0.004423,-5
-0.00287,0.004343,-4
0.003785,-0.000505,-4
0.0005,0.001888,-5
0.003746,-0.000477,-5
-0.002546,0.004107,-5
0.001425,0.001214,-6
-0.001536,0.003371,-3
0.001582,0.001099,-4
-0.001206,0.003131,-5
0.002156,0.000681,-5
0.002728,0.000265,-4
0.003386,-0.000215,-4
0.000419,0.001947,-3
0.002869,0.000162,-5
-0.007872,-0.012021,-4
-0.000801,0.002836,-4
0.002732,0.000262,-5
0.003244,-0.000111,-4
-0.011182,-0.009609,-4
0.000254,0.002067,-4
0.001151,0.001414,-4
-0.000438,0.002571,-4
0.004529,-0.001047,-4
-0.019726,-0.003386,-7
0.003521,-0.000313,-5
-0.012496,-0.008652,-4
-0.001246,0.003159,-5
-0.008345,0.008331,-7
-0.009491,0.009166,-7
0.004557,-0.001068,-4
-0.000376,0.002526,-4
0.001304,0.001302,-6
-0.002292,0.003922,-6
0.000257,0.002065,-5
0.006107,-0.002197,-4
-0.006438,-0.013065,-4
0.003057,0.000025,-5
0.003022,0.000051,-5
0.0096,0.015266,-3
-0.000194,0.002393,-4
0.002326,0.000558,-5
-0.001527,0.003364,-4
-0.008818,0.008676,-7
-0.009668,0.009295,-7
0.002255,0.000609,-4
-0.008894,0.008731,-7
0.005066,-0.001438,-4
-0.001895,0.003633,-6
0.001786,0.000951,-4
-0.007875,-0.012019,-4
0.004557,-0.001068,-4
0.004939,-0.001346,-4
0.001912,0.000859,-4
0.000027,0.002232,-3
-0.018911,-0.003979,0
0.001168,0.001401,-5
-0.000549,0.002652,-3
-0.008849,0.008698,-7
-0.009041,0.008838,-7
-0.007557,-0.01225,-5
0.002396,-0.0195,-3
-0.008084,0.008141,-7
-0.010034,-0.010446,-5
0.000581,0.001829,-3
-0.00012,0.002339,-4
-0.002523,0.00409,-6
0.00432,-0.000895,-4
-0.000861,0.002879,-4
0.022022,-0.033797,7
0.003078,0.00001,-5
-0.003039,0.004466,-6
0.004457,-0.000995,-4
0.005275,-0.001591,-4
0.015529,0.010947,-4
-0.003368,0.004706,-6
0.003455,-0.000265,-4
-0.000267,0.002446,-5
-0.008033,-0.011903,-4
-0.000061,0.002297,-5
0.003525,-0.000316,-5
-0.000353,0.002509,-3
0.001338,0.001277,-5
0.000914,0.001586,-5
0.005501,-0.001755,-4
-0.009622,0.009262,-7
0.004552,-0.001064,-4
-0.002177,0.003838,-5
-0.000287,0.002461,-5
0.003382,-0.000212,-4
0.005253,-0.001575,-4
-0.001204,0.003129,-5
0.004561,-0.001071,-4
-0.000472,0.002596,0
0.000992,0.00153,-4
-0.003141,0.00454,-5
0.003555,-0.000337,-5
-0.010705,-0.009957,-5
-0.002241,-0.016122,1
0.001151,0.001414,-4
-0.000867,0.002883,-5
-0.00008,0.002311,-5
0.003724,-0.000461,-5
0.000694,0.001746,-5
0.001727,0.000994,-3
0.000501,0.001887,-4
-0.000554,0.002656,-4
-0.007714,-0.012135,-5
0.000832,0.001646,-4
0.003173,-0.000059,-4
0.000414,0.00195,-3
0.00212,0.000708,-5
0.00273,0.000264,-5
0.006145,-0.002224,-4
-0.002052,0.003747,-5
0.015543,-0.009071,-5
0.002742,0.000254,-5
-0.009628,-0.010742,-6
0.000787,0.001679,-4
-0.001673,0.003471,-5
-0.001415,-0.016724,-3
-0.001393,0.003267,-3
0.003902,-0.00059,-5
0.002679,0.000301,-4
-0.003184,0.004572,-6
0.001117,0.001439,-4
-0.014449,-0.007229,6
0.002013,0.000786,-5
