@relation '2016_New_Coder_Survey.arff-weka.filters.unsupervised.attribute.Remove-R3-4-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.SimpleKMeans -init 0 -max-candidates 100 -periodic-pruning 10000 -min-density 2.0 -t1 -1.25 -t2 -1.0 -N 3 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -num-slots 1 -S 10'

@attribute Age numeric
@attribute Income numeric
@attribute Gender numeric
@attribute cluster {cluster1,cluster2,cluster3}

@data
33,25000,1,cluster2
28,43000,1,cluster2
30,63000,1,cluster3
42,60000,0,cluster3
49,9000,1,cluster3
34,40000,1,cluster3
31,7500,1,cluster2
28,40000,0,cluster2
26,16000,1,cluster2
33,22000,0,cluster2
26,10000,1,cluster2
26,30000,1,cluster2
23,37740,0,cluster2
32,18000,1,cluster2
22,15000,1,cluster2
30,85000,0,cluster3
33,9000,1,cluster2
26,42000,1,cluster2
25,129756,0,cluster1
28,58000,1,cluster2
33,67200,1,cluster3
27,30000,0,cluster2
29,44000,0,cluster2
25,46000,0,cluster2
22,14000,1,cluster2
25,12000,1,cluster2
22,9600,1,cluster2
49,127000,1,cluster1
45,150000,0,cluster1
28,9000,1,cluster2
22,14000,1,cluster2
32,100000,1,cluster1
26,52000,1,cluster2
25,25000,1,cluster2
24,68400,1,cluster2
31,55000,1,cluster3
55,57600,1,cluster3
35,50000,1,cluster3
31,60000,1,cluster3
25,41500,1,cluster2
56,12000,0,cluster3
30,36000,1,cluster2
21,50000,0,cluster2
26,17000,1,cluster2
30,20000,1,cluster2
29,60000,1,cluster2
32,30000,1,cluster2
21,8000,1,cluster2
36,8500,1,cluster2
24,60000,1,cluster2
32,28500,1,cluster2
28,36000,1,cluster2
26,39000,1,cluster2
33,10000,1,cluster2
30,25000,0,cluster2
45,85000,1,cluster3
24,7000,1,cluster2
44,43000,0,cluster3
32,45000,1,cluster3
23,10000,1,cluster2
36,12000,1,cluster2
42,40000,1,cluster3
46,30000,1,cluster3
28,48000,1,cluster2
32,35000,1,cluster2
43,12000,1,cluster3
22,45000,1,cluster2
25,65000,0,cluster2
26,15000,1,cluster2
35,46000,0,cluster3
45,80000,1,cluster3
28,15000,1,cluster2
30,30000,1,cluster2
33,40000,1,cluster3
26,6000,1,cluster2
28,6000,1,cluster2
40,50000,1,cluster3
34,50000,1,cluster3
34,34000,1,cluster3
23,20000,1,cluster2
24,19000,1,cluster2
30,120000,1,cluster1
22,24000,1,cluster2
23,60000,1,cluster2
30,18000,1,cluster2
28,70000,1,cluster3
19,14045,1,cluster2
25,25000,0,cluster2
36,60000,1,cluster3
43,100000,1,cluster1
25,60000,0,cluster2
40,54000,0,cluster3
31,68000,1,cluster3
29,16040,1,cluster2
31,39000,1,cluster2
42,25000,1,cluster3
62,60000,1,cluster3
24,25000,1,cluster2
24,90000,1,cluster1
28,10000,1,cluster2
25,57000,1,cluster2
59,20000,1,cluster3
48,30000,1,cluster3
26,200000,0,cluster1
23,8000,1,cluster2
24,32000,0,cluster2
24,39600,1,cluster2
28,32000,0,cluster2
45,65000,0,cluster3
26,48000,1,cluster2
25,38000,1,cluster2
28,30000,1,cluster2
31,11000,0,cluster2
29,28800,1,cluster2
28,20000,1,cluster2
22,200000,1,cluster1
27,30000,1,cluster2
45,115000,1,cluster1
28,55000,1,cluster2
51,100000,1,cluster1
35,86000,1,cluster3
47,13000,0,cluster3
31,20000,0,cluster2
28,16000,1,cluster2
37,17000,1,cluster3
39,50000,0,cluster3
42,85000,1,cluster3
29,9000,1,cluster2
38,72000,1,cluster3
27,90000,1,cluster1
26,48000,0,cluster2
24,30000,0,cluster2
31,60000,1,cluster3
22,15000,1,cluster2
27,34500,0,cluster2
31,78000,1,cluster3
32,60000,1,cluster3
27,6000,1,cluster2
35,50000,1,cluster3
29,70000,0,cluster3
39,30000,1,cluster3
61,80000,1,cluster3
45,50000,0,cluster3
35,35000,1,cluster3
46,24000,0,cluster3
24,13000,1,cluster2
36,29000,0,cluster3
23,60000,1,cluster2
31,52000,1,cluster3
21,60000,1,cluster2
23,24000,1,cluster2
27,39000,1,cluster2
24,14000,1,cluster2
29,43000,1,cluster2
28,42000,1,cluster2
23,56000,1,cluster2
34,16000,1,cluster2
25,11000,1,cluster2
31,40000,0,cluster2
22,40000,1,cluster2
21,14000,1,cluster2
22,8000,1,cluster2
28,32000,0,cluster2
34,35000,1,cluster3
31,30000,1,cluster2
31,15000,1,cluster2
35,31200,1,cluster3
30,70000,1,cluster3
21,24000,1,cluster2
24,12000,1,cluster2
47,135000,1,cluster1
26,45000,0,cluster2
38,70000,1,cluster3
51,120000,1,cluster1
25,200000,1,cluster1
38,54000,1,cluster3
38,34000,0,cluster3
40,35000,1,cluster3
25,60000,1,cluster2
24,43200,1,cluster2
34,115000,1,cluster1
31,55000,1,cluster3
26,42000,1,cluster2
33,50000,0,cluster3
32,12000,0,cluster2
23,26000,1,cluster2
29,40000,1,cluster2
27,75000,0,cluster3
21,60000,1,cluster2
23,32000,1,cluster2
38,15428,1,cluster3
29,50000,1,cluster2
27,7200,1,cluster2
27,14500,1,cluster2
30,17000,1,cluster2
26,19000,1,cluster2
43,65000,0,cluster3
17,24000,1,cluster2
33,130000,0,cluster1
20,6000,1,cluster2
30,14000,0,cluster2
28,22000,1,cluster2
29,60000,0,cluster2
27,28000,0,cluster2
21,24000,1,cluster2
26,40000,1,cluster2
30,6000,1,cluster2
26,48000,1,cluster2
27,17000,1,cluster2
26,70000,0,cluster2
36,115000,1,cluster1
33,40000,1,cluster3
25,30000,1,cluster2
26,15000,1,cluster2
33,84000,1,cluster3
42,40000,1,cluster3
28,16000,1,cluster2
45,116000,1,cluster1
28,10000,1,cluster2
31,40000,1,cluster2
30,82000,1,cluster3
33,13000,1,cluster2
35,70000,1,cluster3
24,63576,1,cluster2
31,50000,1,cluster3
35,54000,1,cluster3
34,55000,1,cluster3
28,8300,1,cluster2
23,10000,1,cluster2
18,7500,0,cluster2
26,43200,1,cluster2
30,11971,0,cluster2
29,9781,1,cluster2
29,12000,1,cluster2
30,60000,1,cluster3
24,67000,0,cluster2
27,8000,1,cluster2
29,30000,0,cluster2
33,10000,1,cluster2
24,6000,1,cluster2
24,8000,1,cluster2
27,15000,1,cluster2
20,10000,0,cluster2
35,100000,0,cluster1
