@relation 'AT: 2016_New_Coder_Survey.arff-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.Remove-R3-4-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.EM -I 100 -N 2 -X 10 -max -1 -ll-cv 1.0E-6 -ll-iter 1.0E-6 -M 1.0E-6 -K 10 -num-slots 1 -S 100'

@attribute '0.72 Income+0.685Age+0.093IsSoftwareDev-0.062IsEthnicMinority' numeric
@attribute -0.767IsSoftwareDev+0.568IsEthnicMinority+0.274Age-0.113Income numeric
@attribute Gender numeric
@attribute cluster {cluster1,cluster2}

@data
-0.254771,0.423055,1,cluster2
-0.315523,0.196385,1,cluster2
0.257606,0.201264,1,cluster2
1.214545,0.618481,0,cluster2
0.779018,1.017193,1,cluster2
0.132681,0.409724,1,cluster2
-0.777456,0.410291,1,cluster2
-0.376055,0.205847,0,cluster2
-0.837316,-1.367987,1,cluster1
-0.460723,1.772434,0,cluster2
-1.150959,0.232508,1,cluster2
-0.747409,0.169428,1,cluster2
-0.845603,0.043077,0,cluster2
-0.480803,0.411154,1,cluster2
-1.534648,1.420736,1,cluster2
0.701511,0.131875,0,cluster2
-0.577611,0.473519,1,cluster2
-0.45812,-0.110074,1,cluster2
1.180629,-0.179184,0,cluster2
-0.01286,0.149075,1,cluster2
0.789298,-1.291615,1,cluster1
-0.808039,1.543324,0,cluster2
-0.355975,1.567127,0,cluster2
-0.654778,1.424901,0,cluster2
-1.554826,1.42389,1,cluster2
-1.002815,-1.38935,1,cluster1
-1.305609,-1.483719,1,cluster1
3.352542,-0.936551,1,cluster2
3.477467,-1.145012,0,cluster2
-1.001558,0.303621,1,cluster2
-1.216828,-1.497597,1,cluster1
1.173752,0.152524,1,cluster2
-0.303504,0.100039,1,cluster2
-0.885927,-0.090436,1,cluster2
-0.142171,-0.019646,1,cluster2
