@relation 'AT: Aviation_Accident_Database_&_Synopses.arff-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Standardize_principal components-weka.filters.unsupervised.attribute.Remove-R2'

@attribute '-0.707Latitude+0.707 Aircraft.Damage' numeric
@attribute ' Longitude' numeric

@data
-0.556301,-3
-1.862747,-7
0.450463,-4
-0.762671,-5
0.240821,-4
-0.36188,-4
0.200383,-4
1.49165,-4
-0.569373,-4
-0.30645,-4
-0.553127,-3
1.311099,-5
1.184699,-4
0.058967,-5
-1.486456,-7
1.406267,-5
-0.699964,-5
1.814758,-5
-1.576382,-7
-1.581119,-7
-0.288119,-5
-0.290024,-5
1.474069,-3
1.573925,-4
-0.198259,-6
-0.004456,-4
-0.175371,-5
-1.364965,-7
0.13696,-5
0.119362,-4
-0.406452,-5
-0.273224,-4
-0.203452,-4
-0.560143,-5
-0.19878,-4
-1.541154,-7
-0.36621,-4
-0.034866,-5
-0.480197,-3
-2.077282,-5
-2.168038,-3
0.698914,5
-0.127689,-5
0.00956,-4
-0.083459,-5
-0.359617,-4
-0.794074,-4
0.027695,-5
0.032579,-4
-0.503036,-3
0.000623,-5
1.569074,-5
-0.808969,-5
-0.110743,-4
-1.484698,-7
-0.345113,-5
-0.334873,-3
0.037544,-4
-0.020084,-4
-0.200945,-6
-0.521741,-3
-0.569145,-3
-0.208482,-6
0.205055,-4
0.19366,-4
-0.228896,-4
0.335565,-4
0.1136,5
-0.189257,-3
0.271263,-4
-0.401829,-3
1.846258,-5
-2.139143,-5
-0.026612,-6
1.737872,-5
2.122302,-4
-0.298831,-3
1.819186,-5
-0.675806,-5
-0.56895,-4
-0.114356,-5
-0.096287,-3
-0.168436,-5
0.001599,-4
-0.244671,-4
-0.15188,-4
-0.422862,-3
-0.618113,-4
-0.785706,-5
-0.770502,-4
0.145718,-4
-0.306515,-5
0.140346,-5
-0.725897,-5
-0.179147,-6
-0.586841,-3
-0.157529,-4
-0.541373,-5
-0.07851,-5
0.000183,-4
0.09076,-4
-0.317633,-3
0.019539,-5
1.875772,-4
-0.485634,-4
0.00072,-5
0.071209,-4
1.41999,-4
-0.340359,-4
-0.216947,-4
-0.435624,-4
0.248114,-4
0.243891,-7
0.109383,-5
1.239178,-4
-0.546827,-5
-1.524174,-7
-1.681903,-7
0.251956,-4
-0.427175,-4
-0.195866,-6
-0.690864,-6
-0.340001,-5
0.465326,-4
2.073107,-4
0.045455,-5
0.04062,-5
-2.388571,-3
-0.402089,-4
-0.055215,-5
-0.585522,-4
-1.589275,-7
-1.706207,-7
-0.064901,-4
-1.599661,-7
0.321988,-4
-0.63628,-6
-0.129447,-4
1.875349,-4
0.251956,-4
0.304504,-4
-0.112191,-4
-0.371648,-3
0.356119,0
-0.214571,-5
-0.450878,-3
-1.593507,-7
-1.619879,-7
1.919009,-5
3.289187,-3
-1.488133,-7
1.578044,-5
-0.295413,-3
-0.391817,-4
-0.722641,-6
0.219349,-4
-0.493887,-4
5.990865,7
0.048402,-5
-0.793699,-6
0.238167,-4
0.350818,-4
-1.572354,-4
-0.839069,-6
0.100251,-4
-0.412068,-5
1.853486,-4
-0.383792,-5
0.109937,-5
-0.423936,-3
-0.191194,-5
-0.249505,-5
0.381944,-4
-1.699972,-7
0.251239,-4
-0.675106,-5
-0.414852,-5
0.09019,-4
0.347774,-4
-0.541048,-5
0.252542,-4
-0.440394,0
-0.238843,-4
-0.807732,-5
0.113974,-5
1.485774,-5
2.650819,1
-0.216947,-4
-0.494669,-5
-0.386413,-5
0.137286,-5
-0.279785,-5
-0.137571,-3
-0.306466,-4
-0.451627,-4
1.89739,-5
-0.260836,-4
0.061425,-4
-0.31835,-3
-0.083508,-5
0.000378,-5
0.470519,-4
-0.65785,-5
1.764315,-5
0.002137,-5
1.633995,-6
-0.266989,-4
-0.605643,-5
2.764512,-3
-0.567111,-3
0.161769,-5
-0.006605,-4
-0.813722,-6
-0.221652,-4
0.97028,6
-0.09824,-5
2.164449,-4
0.034434,-5
0.691686,5
-1.519193,-7
-0.083687,-3
-0.502971,-4
0.396221,-4
0.051886,-4
-0.164431,-6
0.263204,-4
-0.534097,-3
0.25737,-7
-1.53164,-4
-1.786463,-7
-2.094089,-7
-0.484462,-5
-0.572938,-4
-0.049859,-4
-0.81146,-6
-2.354304,-4
-0.416985,-3
-0.306385,-5
0.031765,-5
-0.371289,-5
0.011172,-5
2.962245,-2
0.034434,-5
-0.598822,-5
-0.037552,-5
0.291546,-4
0.374586,-4
0.789289,-5
-1.721184,-7
-0.883716,-3
-1.732394,-4
