@relation '2016_New_Coder_Survey.arff-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.EM -I 100 -N 7 -X 10 -max -1 -ll-cv 1.0E-6 -ll-iter 1.0E-6 -M 1.0E-6 -K 10 -num-slots 1 -S 100'

@attribute Age numeric
@attribute Income numeric
@attribute IsEthnicMinority numeric
@attribute IsSoftwareDev numeric
@attribute Gender numeric
@attribute cluster {cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7}

@data
33,25000,0,0,1,cluster4
28,43000,0,0,1,cluster4
30,63000,0,0,1,cluster4
42,60000,0,0,0,cluster4
49,9000,0,0,1,cluster4
34,40000,0,0,1,cluster4
31,7500,0,0,1,cluster4
28,40000,0,0,0,cluster4
26,16000,0,1,1,cluster7
33,22000,1,0,0,cluster4
26,10000,0,0,1,cluster4
26,30000,0,0,1,cluster4
23,37740,0,0,0,cluster4
32,18000,0,0,1,cluster4
22,15000,1,0,1,cluster4
30,85000,0,0,0,cluster4
33,9000,0,0,1,cluster4
26,42000,1,1,1,cluster3
25,129756,0,0,0,cluster4
28,58000,0,0,1,cluster4
33,67200,0,1,1,cluster2
27,30000,1,0,0,cluster4
29,44000,1,0,0,cluster4
25,46000,1,0,0,cluster4
22,14000,1,0,1,cluster4
25,12000,0,1,1,cluster7
22,9600,0,1,1,cluster7
49,127000,0,1,1,cluster2
45,150000,0,1,0,cluster2
28,9000,0,0,1,cluster4
22,14000,0,1,1,cluster7
32,100000,0,0,1,cluster4
26,52000,0,0,1,cluster4
25,25000,1,1,1,cluster3
24,68400,0,0,1,cluster4
31,55000,0,0,1,cluster4
55,57600,1,0,1,cluster4
35,50000,0,1,1,cluster2
31,60000,0,1,1,cluster2
25,41500,0,1,1,cluster7
56,12000,0,0,0,cluster4
30,36000,0,1,1,cluster2
21,50000,0,0,0,cluster4
26,17000,0,0,1,cluster4
30,20000,0,1,1,cluster7
29,60000,0,0,1,cluster4
32,30000,1,0,1,cluster4
21,8000,0,1,1,cluster7
36,8500,0,1,1,cluster2
24,60000,0,0,1,cluster4
32,28500,0,1,1,cluster2
28,36000,0,0,1,cluster4
26,39000,0,0,1,cluster4
33,10000,0,1,1,cluster2
30,25000,0,0,0,cluster4
45,85000,0,0,1,cluster4
24,7000,0,1,1,cluster7
44,43000,0,0,0,cluster4
